,symbol,sm_name,desc,an_dt,t_date,open,adj_close,intraday_return
2885,PRINCEPIPE,Prince Pipes And Fittings Limited,Record Date,2021-11-02 16:51:42,2021-11-03 16:51:42,775.0,750.3,-3.187096774193554
2886,IRCON,Ircon International Limited,Record Date,2021-11-02 16:26:57,2021-11-03 16:26:57,47.3,42.91,-9.281183932346725
2887,GULPOLY,Gulshan Polyols Limited,Record Date,2021-11-02 15:33:55,2021-11-03 15:33:55,232.33,225.7,-2.853699479189095
2889,SUNTV,Sun TV Network Limited,Record Date,2021-11-01 17:50:37,2021-11-02 17:50:37,596.05,547.38,-8.16542236389564
2890,ASTRAL,Astral Limited,Record Date,2021-11-01 16:19:55,2021-11-02 16:19:55,1676.18,1663.28,-0.7696070827715454
2891,VIDHIING,Vidhi Specialty Food Ingredients Limited,Record Date,2021-11-01 15:22:30,2021-11-02 15:22:30,334.45,356.16,6.491254298101372
2896,RAIN,Rain Industries Limited,Record Date,2021-10-30 19:59:15,2021-10-31 19:59:15,228.5,216.96,-5.050328227571112
2897,SAIL,Steel Authority of India Limited,Record Date,2021-10-30 15:41:20,2021-10-31 15:41:20,123.0,112.86,-8.24390243902439
2900,SAKSOFT,Saksoft Limited,Record Date,2021-10-29 22:06:29,2021-10-30 22:06:29,91.79,88.58,-3.4971129752696455
2901,CARERATING,CARE Ratings Limited,Record Date,2021-10-29 21:44:47,2021-10-30 21:44:47,676.8,622.66,-7.999408983451534
2902,BPCL,Bharat Petroleum Corporation Limited,Record Date,2021-10-29 18:04:56,2021-10-30 18:04:56,428.0,381.62,-10.836448598130842
2903,AKSHARCHEM,AksharChem India Limited,Record Date,2021-10-29 18:01:00,2021-10-30 18:01:00,492.05,485.47,-1.3372624733258782
2904,TIDEWATER,Tide Water Oil Company (India) Limited,Record Date,2021-10-29 17:55:44,2021-10-30 17:55:44,1685.0,1478.79,-12.2379821958457
2905,MSTCLTD,Mstc Limited,Record Date,2021-10-29 17:39:19,2021-10-30 17:39:19,397.0,342.21,-13.801007556675067
2906,SHK,S H Kelkar and Company Limited,Record Date,2021-10-29 17:27:20,2021-10-30 17:27:20,157.8,141.13,-10.564005069708502
2907,RECLTD,REC Limited,Record Date,2021-10-29 17:11:02,2021-10-30 17:11:02,113.1,89.75,-20.64544650751547
2908,ZUARIIND,ZUARI INDUSTRIES LIMITED,Record Date,2021-10-29 16:53:54,2021-10-30 16:53:54,128.2,128.01,-0.14820592823712772
2909,SUPREMEENG,Supreme Engineering Limited,Record Date,2021-10-29 16:16:33,2021-10-30 16:16:33,2.265,2.265,0.0
2910,GESHIP,The Great Eastern Shipping Company Limited,Record Date,2021-10-29 15:57:00,2021-10-30 15:57:00,326.8,301.18,-7.839657282741739
2916,AARTIIND,Aarti Industries Limited,Record Date,2021-10-28 19:47:33,2021-10-29 19:47:33,977.95,955.59,-2.286415460913136
2917,GMMPFAUDLR,GMM Pfaudler Limited,Record Date,2021-10-28 19:16:49,2021-10-29 19:16:49,1608.08,1549.42,-3.6478284662454517
